Granada; 33; ; 33; 28; ; 50; 33; ; ; 40; 50; ; 45; ; 40; 40; 127/4; 33; 26; 33; 127/4; 40; 20; 33; ; ; ; ; 
META; spain/la-liga-primera/barcelona-v-granada; 2016-10-20 08:19:14 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/16; ; 1/18; 1/20; ; 1/20; 1/25; ; ; 1/18; 1/20; ; 1/25; ; 1/25; 1/25; 1/41; 1/16; 1/16; 1/16; 1/41; 1/14; 1/25; 1/16; ; ; ; ; 
Draw; 10; ; 12; 12; ; 16; 16; ; ; 14; 14; ; 12; ; 14; 14; 55/4; 11; 10; 11; 57/4; 17; 13; 11; ; ; ; ; 
Granada; 33; ; 33; 28; ; 50; 33; ; ; 40; 50; ; 45; ; 40; 40; 127/4; 33; 26; 33; 32; 40; 20; 33; ; ; ; ; 
META; spain/la-liga-primera/barcelona-v-granada; 2016-10-20 12:19:28 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/16; ; ; 1/20; ; 1/20; 1/25; ; ; 1/18; 1/20; ; 1/25; ; 1/25; 1/25; 1/41; 1/16; 1/16; 1/16; 1/41; 1/14; 1/25; 1/16; ; ; ; ; 
Draw; 10; ; ; 12; ; 16; 16; ; ; 14; 14; ; 12; ; 14; 14; 27/2; 11; 10; 11; 27/2; 17; 13; 11; ; ; ; ; 
Granada; 33; ; ; 28; ; 50; 33; ; ; 40; 50; ; 45; ; 40; 40; 63/2; 33; 26; 33; 63/2; 40; 20; 33; ; ; ; ; 
META; spain/la-liga-primera/barcelona-v-granada; 2016-10-20 16:19:26 GMT+3; 2016-10-29 19:45; e70300-dr003
Barcelona; 1/16; ; ; 1/20; ; 1/20; 1/25; ; ; 1/18; 1/20; ; 1/25; ; 1/25; 1/25; 1/41; 1/16; 1/16; 1/16; 1/41; 1/14; 1/25; 1/16; ; ; ; ; 
