META; english/premier-league/swansea-v-tottenham; 2017-03-19 18:16:57 GMT+2; 2017-04-05 19:45; Nothing; Xlenovo
Tottenham; ; ; 8/15; ; ; ; ; 4/6; 8/13; 8/11; 7/10; ; ; ; ; ; ; 4/7; ; ; 8/13; ; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 13/5; 14/5; 14/5; 27/10; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; ; 
Swansea; ; ; 5; ; ; ; ; 4; 5; 7/2; 7/2; ; ; ; ; ; ; 9/2; ; ; 29/5; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-19 22:16:16 GMT+2; 2017-04-05 19:45; Nothing; Xlenovo
Tottenham; ; ; 8/15; ; ; ; ; 4/6; 4/6; 4/6; 4/6; ; ; ; 7/10; 8/11; 4/6; 4/7; 4/7; 4/6; 69/100; ; 3/5; ; 3/5; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 13/5; 3; 14/5; 11/4; ; ; ; 14/5; 3; 29/10; 3; 14/5; 29/10; 31/10; ; 56/19; ; 56/19; ; ; ; 
Swansea; ; ; 5; ; ; ; ; 4; 17/4; 15/4; 15/4; ; ; ; 4; 4; 21/5; 9/2; 9/2; 21/5; 9/2; ; 9/2; ; 9/2; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-20 02:16:33 GMT+2; 2017-04-05 19:45; Nothing; Xlenovo
Tottenham; 8/13; ; 8/15; ; 4/6; ; 4/6; 4/6; 4/6; 4/6; 4/6; ; ; ; 7/10; 7/10; 4/6; 8/13; 4/7; 4/6; 69/100; ; 3/5; ; 3/5; ; ; ; 
Draw; 3; ; 11/4; ; 3; ; 3; 13/5; 3; 14/5; 11/4; ; ; ; 14/5; 31/10; 56/19; 29/10; 14/5; 56/19; 31/10; ; 56/19; ; 56/19; ; ; ; 
Swansea; 4; ; 5; ; 4; ; 22/5; 4; 17/4; 15/4; 15/4; ; ; ; 4; 9/2; 54/13; 4; 9/2; 54/13; 9/2; ; 9/2; ; 9/2; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-20 06:15:58 GMT+2; 2017-04-05 19:45; Nothing; Xlenovo
Tottenham; 8/13; ; 8/15; ; 4/6; ; 4/6; 4/6; 4/6; 4/6; 4/6; ; ; ; 7/10; 7/10; 4/6; 8/13; 4/7; 4/6; 69/100; ; 3/5; ; 3/5; ; ; ; 
Draw; 3; ; 11/4; ; 3; ; 3; 13/5; 3; 14/5; 11/4; ; ; ; 14/5; 31/10; 56/19; 29/10; 14/5; 56/19; 31/10; ; 56/19; ; 56/19; ; ; ; 
Swansea; 4; ; 5; ; 4; ; 22/5; 4; 17/4; 15/4; 15/4; ; ; ; 4; 9/2; 54/13; 4; 9/2; 54/13; 9/2; ; 9/2; ; 9/2; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-20 10:15:59 GMT+2; 2017-04-05 19:45; Nothing; Xlenovo
Tottenham; 8/13; ; 7/10; ; 4/6; 8/13; 7/10; 4/6; 4/6; 4/6; 4/6; ; ; ; 7/10; 7/10; 4/6; 8/13; 4/7; 4/6; 7/10; ; 3/5; ; 3/5; ; ; ; 
