META; english/premier-league/crystal-palace-v-arsenal; 2017-04-07 10:16:05 GMT+3; 2017-04-10 20:00; Nothing; Xlenovo
Arsenal; 5/6; 4/5; 5/6; 3/4; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 3/4; 8/11; 4/5; 41/50; 4/5; 7/9; 4/5; 13/16; ; ; 4/5; 5/6
Draw; 29/10; 14/5; 29/10; 14/5; 11/4; 14/5; 29/10; 27/10; 14/5; 14/5; 11/4; 13/5; ; 27/10; 3; 29/10; 37/13; 14/5; 14/5; 37/13; 74/25; 29/10; 29/10; 14/5; 56/19; ; ; 11/4; 14/5
Crystal Palace; 7/2; 3; 17/5; 17/5; 7/2; 10/3; 7/2; 7/2; 3; 16/5; 16/5; 10/3; ; 18/5; 10/3; 10/3; 38/11; 18/5; 7/2; 38/11; 18/5; 57/17; 7/2; 7/2; 39/11; ; ; 10/3; 7/2
META; english/premier-league/crystal-palace-v-arsenal; 2017-04-07 14:15:45 GMT+3; 2017-04-10 20:00; Nothing; Xlenovo
Arsenal; 5/6; 4/5; 17/20; 5/6; 4/5; 5/6; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 17/20; 5/6; 4/5; 5/6; 3/4; 8/11; 5/6; 17/20; 13/16; 7/9; 17/20; 13/16; ; ; 4/5; 5/6
Draw; 29/10; 14/5; 29/10; 5/2; 11/4; 14/5; 29/10; 27/10; 14/5; 14/5; 11/4; 14/5; 57/20; 14/5; 11/4; 29/10; 37/13; 14/5; 14/5; 37/13; 59/20; 29/10; 29/10; 11/4; 56/19; ; ; 14/5; 14/5
Crystal Palace; 7/2; 3; 16/5; 10/3; 7/2; 10/3; 7/2; 7/2; 3; 3; 16/5; 16/5; 10/3; 18/5; 7/2; 10/3; 57/17; 18/5; 7/2; 57/17; 71/20; 33/10; 7/2; 10/3; 39/11; ; ; 10/3; 7/2
META; english/premier-league/crystal-palace-v-arsenal; 2017-04-07 18:15:51 GMT+3; 2017-04-10 20:00; Nothing; Xlenovo
Arsenal; 5/6; 4/5; 17/20; 5/6; 4/5; 17/20; 5/6; 5/6; 5/6; 4/5; 4/5; 4/5; 4/5; 17/20; 17/20; 5/6; 5/6; 3/4; 8/11; 5/6; 17/20; 13/16; 7/9; 17/20; 13/16; ; ; 5/6; 5/6
Draw; 29/10; 14/5; 29/10; 5/2; 11/4; 14/5; 29/10; 13/5; 14/5; 14/5; 11/4; 11/4; 57/20; 14/5; 3; 14/5; 14/5; 14/5; 14/5; 14/5; 59/20; 29/10; 29/10; 11/4; 56/19; ; ; 14/5; 14/5
