MK Dons; 15/8; 7/4; 7/4; 8/5; 91/50; 7/4; 7/4; 17/10; 28/17; 7/4; 9/5; 9/5; ; 7/4; 17/10; 9/5; 9/5; 7/4; 9/5; 17/10; 28/17; 6/4; 7/4; 7/4; 7/4; ; 17/10; 13/8; 9/5
Draw; 23/10; 5/2; 12/5; 12/5; 13/5; 12/5; 23/10; 12/5; 5/2; 12/5; 5/2; 12/5; ; 12/5; 12/5; 12/5; 11/5; 12/5; 11/5; 13/5; 5/2; 12/5; 13/5; 12/5; 12/5; ; 23/10; 23/10; 13/5
META; english/league-1/mk-dons-v-peterborough; 2017-12-28 02:22:54 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Peterborough; 7/5; 7/5; 7/5; 8/5; 77/50; 31/20; 6/4; 6/4; 31/21; 29/20; 6/4; 6/4; ; 29/20; 6/4; 6/4; 6/4; 16/11; 6/4; 23/17; 31/21; 7/4; 7/5; 29/20; 16/11; ; 7/5; 27/20; 6/4
MK Dons; 15/8; 7/4; 9/5; 8/5; 91/50; 7/4; 7/4; 17/10; 28/17; 9/5; 9/5; 15/8; ; 9/5; 17/10; 9/5; 9/5; 7/4; 9/5; 17/10; 28/17; 6/4; 9/5; 7/4; 9/5; ; 17/10; 7/4; 9/5
Draw; 23/10; 5/2; 12/5; 12/5; 13/5; 12/5; 23/10; 12/5; 5/2; 12/5; 5/2; 9/4; ; 12/5; 12/5; 12/5; 11/5; 12/5; 11/5; 13/5; 5/2; 12/5; 13/5; 12/5; 12/5; ; 23/10; 23/10; 13/5
META; english/league-1/mk-dons-v-peterborough; 2017-12-28 10:22:09 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Peterborough; 7/5; 7/5; 7/5; 8/5; 77/50; 6/4; 6/4; 7/5; 31/21; 29/20; 29/20; 6/4; ; 29/20; 6/4; 6/4; 6/4; 16/11; 6/4; 23/17; 31/21; 7/4; 7/5; 29/20; 16/11; ; 7/5; 27/20; 6/4
MK Dons; 15/8; 9/5; 9/5; 8/5; 91/50; 9/5; 7/4; 9/5; 28/17; 9/5; 15/8; 15/8; ; 9/5; 17/10; 9/5; 9/5; 7/4; 9/5; 17/10; 28/17; 6/4; 9/5; 7/4; 9/5; ; 17/10; 7/4; 9/5
Draw; 23/10; 5/2; 12/5; 12/5; 13/5; 5/2; 23/10; 12/5; 5/2; 12/5; 5/2; 9/4; ; 12/5; 12/5; 12/5; 11/5; 12/5; 11/5; 13/5; 5/2; 12/5; 13/5; 12/5; 12/5; ; 23/10; 23/10; 13/5
