Draw; 7; 15/2; 15/2; 15/2; 13/2; 9; 17/2; 11/2; 8; 17/2; 8; 15/2; 15/2; 17/2; 8; 17/2; 31/4; 8; 29/4; 8; 31/4; 9; 41/5; 8; 13/2; ; 38/5; ; 
Din Zagreb; 18; 22; 25; 25; 20; 33; 25; 12; 25; 28; 33; 22; 28; 40; 20; 28; 95/4; 17; 22; 17; 95/4; 25; 19; 17; 22; ; 33; ; 
META; champions-league/juventus-v-din-zagreb; 2016-11-29 12:15:32 GMT+2; 2016-12-07 19:45; e70300-dr003
Juventus; 1/8; 1/9; 1/9; 1/10; 1/8; 1/9; 1/12; 1/7; 1/9; 1/9; 1/10; 1/9; 1/10; 1/10; 1/8; 2/17; 1/10; 1/8; 1/9; 2/15; 1/10; 2/15; 1/12; 1/8; 1/8; ; 1/7; ; 
Draw; 7; 15/2; 15/2; 15/2; 13/2; 9; 17/2; 11/2; 8; 17/2; 8; 15/2; 15/2; 17/2; 8; 17/2; 31/4; 8; 29/4; 8; 31/4; 9; 41/5; 8; 13/2; ; 38/5; ; 
Din Zagreb; 18; 22; 25; 25; 20; 33; 25; 12; 25; 28; 33; 22; 28; 40; 20; 28; 47/2; 17; 22; 17; 47/2; 25; 19; 17; 22; ; 33; ; 
META; champions-league/juventus-v-din-zagreb; 2016-11-29 16:15:34 GMT+2; 2016-12-07 19:45; e70300-dr003
Juventus; 1/8; 1/9; 1/9; 1/10; 1/8; 1/9; 1/12; 1/7; 1/9; 1/9; 1/10; 1/9; 1/10; 1/10; 1/8; 2/17; 1/10; 1/8; 1/9; 2/15; 1/10; 2/15; 1/12; 1/8; 1/8; ; 1/7; ; 1/7
Draw; 7; 15/2; 15/2; 15/2; 13/2; 9; 17/2; 11/2; 8; 17/2; 8; 15/2; 15/2; 17/2; 8; 17/2; 31/4; 8; 29/4; 8; 31/4; 9; 41/5; 8; 13/2; ; 38/5; ; 43/5
Din Zagreb; 18; 22; 25; 25; 20; 33; 25; 12; 25; 28; 33; 22; 28; 40; 20; 28; 47/2; 17; 22; 17; 47/2; 25; 19; 17; 22; ; 33; ; 26
META; champions-league/juventus-v-din-zagreb; 2016-11-29 20:15:43 GMT+2; 2016-12-07 19:45; e70300-dr003
Juventus; 1/8; 1/9; 1/9; 1/10; 1/8; 1/9; 1/12; 1/7; 1/9; 1/9; 1/10; 1/9; 1/10; 1/10; 1/8; 2/17; 1/10; 1/8; 1/9; 2/15; 1/10; 2/15; 1/12; 1/8; 1/8; ; 2/15; ; 1/7
Draw; 7; 15/2; 15/2; 15/2; 13/2; 9; 17/2; 11/2; 8; 17/2; 8; 15/2; 15/2; 17/2; 8; 17/2; 31/4; 8; 29/4; 8; 31/4; 9; 41/5; 8; 13/2; ; 38/5; ; 43/5
Din Zagreb; 18; 22; 25; 25; 20; 33; 25; 12; 25; 28; 33; 22; 28; 40; 20; 28; 47/2; 17; 22; 17; 47/2; 25; 19; 17; 22; ; 33; ; 26
META; champions-league/juventus-v-din-zagreb; 2016-11-30 00:15:34 GMT+2; 2016-12-07 19:45; e70300-dr003
Juventus; 1/8; 1/9; 1/9; 1/10; 1/8; 1/9; 1/12; 1/7; 1/9; 1/9; 1/10; 1/9; 1/10; 1/10; 1/8; 2/17; 1/10; 1/8; 1/9; 2/15; 1/10; 2/15; 1/12; 1/8; 1/8; ; 2/15; ; 1/7
Draw; 7; 15/2; 15/2; 15/2; 13/2; 9; 17/2; 11/2; 8; 17/2; 8; 15/2; 15/2; 17/2; 8; 17/2; 31/4; 8; 29/4; 8; 31/4; 9; 41/5; 8; 13/2; ; 8; ; 43/5
Din Zagreb; 18; 22; 25; 25; 20; 33; 25; 12; 25; 28; 33; 22; 28; 40; 20; 28; 47/2; 17; 22; 17; 47/2; 25; 19; 17; 22; ; 33; ; 26
META; champions-league/juventus-v-din-zagreb; 2016-11-30 04:15:32 GMT+2; 2016-12-07 19:45; e70300-dr003
Juventus; 1/8; 1/9; 1/9; 1/10; 1/8; 1/9; 1/12; 1/7; 1/9; 1/9; 1/10; 1/9; 1/10; 1/10; 1/8; 2/17; 1/10; 1/8; 1/9; 2/15; 1/10; 2/15; 1/12; 1/8; 1/8; ; 2/15; ; 1/7
Draw; 7; 15/2; 15/2; 15/2; 13/2; 9; 17/2; 11/2; 8; 17/2; 8; 15/2; 15/2; 17/2; 8; 17/2; 31/4; 8; 29/4; 8; 31/4; 9; 41/5; 8; 13/2; ; 41/5; ; 43/5
Din Zagreb; 18; 22; 25; 25; 20; 33; 25; 12; 25; 28; 33; 22; 28; 40; 20; 28; 47/2; 17; 22; 17; 47/2; 25; 19; 17; 22; ; 33; ; 26
