Draw; 23/10; 21/10; 2; 21/10; 21/10; 41/20; 85/40; 11/5; 2; 2; 2; ; 21/10; 21/10; 2; 11/5; 39/19; 28/13; 11/5; 21/10; 39/19; 21/10; 39/19; 28/13; 21/10; ; 19/10; 2; 21/10
Almeria; 14/5; 14/5; 14/5; 14/5; 3; 11/4; 31/10; 11/4; 14/5; 3; 14/5; ; 3; 11/4; 16/5; 14/5; 29/10; 31/10; 27/10; 3; 29/10; 16/5; 45/17; 31/10; 14/5; ; 3; 14/5; 3
META; spain/la-liga-segunda/alcorcon-v-almeria; 2016-10-12 20:27:28 GMT+3; 2016-10-15 17:00; e70300-dr003
Alcorcon; 1; 1; 21/20; 1; 21/20; 19/20; 21/20; 10/11; 1; 21/20; 21/20; ; 21/20; 1; 1; 1; 21/20; 1; 19/20; 1; 21/20; 9/8; 42/41; 1; 1; ; 1; 1; 11/10
Draw; 23/10; 21/10; 2; 21/10; 21/10; 41/20; 85/40; 11/5; 2; 2; 2; ; 21/10; 21/10; 2; 11/5; 21/10; 28/13; 11/5; 21/10; 21/10; 21/10; 39/19; 28/13; 21/10; ; 19/10; 2; 21/10
Almeria; 14/5; 14/5; 14/5; 14/5; 3; 11/4; 31/10; 11/4; 14/5; 3; 14/5; ; 3; 11/4; 16/5; 14/5; 56/19; 31/10; 27/10; 3; 56/19; 16/5; 45/17; 31/10; 14/5; ; 3; 14/5; 3
META; spain/la-liga-segunda/alcorcon-v-almeria; 2016-10-13 10:50:56 GMT+3; 2016-10-15 17:00; e70300-dr003
Alcorcon; 1; 1; 21/20; 1; 21/20; 19/20; 21/20; 10/11; 1; 21/20; 21/20; ; 21/20; 1; 1; 1; 1; 1; 19/20; 1; 1; 9/8; 42/41; 1; 1; ; 1; 20/21; 11/10
Draw; 23/10; 21/10; 2; 21/10; 21/10; 41/20; 85/40; 11/5; 2; 2; 2; ; 21/10; 21/10; 2; 11/5; 21/10; 28/13; 11/5; 21/10; 21/10; 21/10; 39/19; 28/13; 21/10; ; 2; 19/10; 21/10
Almeria; 14/5; 14/5; 14/5; 14/5; 3; 11/4; 31/10; 11/4; 14/5; 3; 14/5; ; 3; 11/4; 16/5; 14/5; 3; 31/10; 27/10; 3; 3; 16/5; 45/17; 31/10; 14/5; ; 3; ; 3
META; spain/la-liga-segunda/alcorcon-v-almeria; 2016-10-13 12:25:46 GMT+3; 2016-10-15 17:00; e70300-dr003
Alcorcon; 1; 1; 21/20; 1; 21/20; 19/20; 21/20; 10/11; 1; 21/20; 21/20; ; 21/20; 1; 1; 1; 1; 1; 19/20; 1; 1; 9/8; 42/41; 1; 1; ; 1; 1; 11/10
Draw; 23/10; 21/10; 2; 21/10; 21/10; 41/20; 85/40; 11/5; 2; 2; 2; ; 21/10; 21/10; 2; 11/5; 21/10; 28/13; 11/5; 21/10; 21/10; 21/10; 39/19; 28/13; 21/10; ; 2; 2; 21/10
Almeria; 14/5; 14/5; 14/5; 14/5; 3; 11/4; 31/10; 11/4; 14/5; 3; 14/5; ; 3; 11/4; 16/5; 14/5; 3; 31/10; 27/10; 3; 3; 16/5; 45/17; 31/10; 14/5; ; 3; 14/5; 3
META; spain/la-liga-segunda/alcorcon-v-almeria; 2016-10-13 16:26:04 GMT+3; 2016-10-15 17:00; e70300-dr003
Alcorcon; 21/20; 1; 1; 1; 21/20; 19/20; 1; 10/11; 1; 1; 21/20; 11/10; 1; 1; 1; 1; 1; 1; 19/20; 1; 1; 9/8; 68/67; 1; 1; ; 1; 20/21; 21/20
Draw; 21/10; 2; 2; 21/10; 21/10; 41/20; 85/40; 11/5; 2; 2; 2; 2; 21/10; 2; 2; 2; 21/10; 28/13; 11/5; 21/10; 21/10; 21/10; 39/19; 28/13; 21/10; ; 2; 2; 21/10
Almeria; 16/5; 14/5; 3; 14/5; 3; 14/5; 33/10; 11/4; 14/5; 16/5; 29/10; 11/4; 16/5; 29/10; 16/5; 3; 58/19; 31/10; 27/10; 3; 58/19; 16/5; 45/17; 31/10; 14/5; ; 3; 14/5; 10/3
META; spain/la-liga-segunda/alcorcon-v-almeria; 2016-10-13 20:26:44 GMT+3; 2016-10-15 17:00; e70300-dr003
Alcorcon; 21/20; 1; 1; 1; 21/20; 19/20; 1; 10/11; 1; 1; 21/20; 11/10; 1; 1; 1; 1; 1; 1; 19/20; 1; 1; 9/8; 68/67; ; 1; ; 1; 20/21; 21/20
Draw; 21/10; 2; 2; 21/10; 21/10; 41/20; 85/40; 11/5; 2; 2; 2; 2; 21/10; 2; 2; 2; 21/10; 28/13; 11/5; 21/10; 21/10; 21/10; 39/19; ; 21/10; ; 2; 2; 21/10
Almeria; 16/5; 14/5; 3; 14/5; 3; 14/5; 33/10; 11/4; 14/5; 16/5; 29/10; 11/4; 16/5; 29/10; 16/5; 3; 58/19; 31/10; 27/10; 3; 41/13; 16/5; 45/17; ; 14/5; ; 3; 14/5; 10/3
META; spain/la-liga-segunda/alcorcon-v-almeria; 2016-10-14 00:24:58 GMT+3; 2016-10-15 17:00; e70300-dr003
Alcorcon; 21/20; 1; 21/20; 1; 21/20; 19/20; 1; 10/11; 1; 1; 21/20; 11/10; 1; 1; 1; 1; 1; 1; 19/20; ; ; 9/8; 68/67; 1; 1; ; 21/20; 20/21; 21/20
Draw; 21/10; 2; 2; 21/10; 21/10; 41/20; 85/40; 11/5; 2; 2; 2; 2; 21/10; 2; 2; 2; 21/10; 28/13; 11/5; ; ; 21/10; 39/19; 28/13; 21/10; ; 2; 2; 21/10
Almeria; 16/5; 14/5; 29/10; 14/5; 3; 14/5; 33/10; 11/4; 14/5; 16/5; 14/5; 11/4; 16/5; 29/10; 16/5; 3; 31/10; 31/10; 27/10; ; ; 16/5; 45/17; 31/10; 14/5; ; 3; 14/5; 10/3
META; spain/la-liga-segunda/alcorcon-v-almeria; 2016-10-14 04:25:31 GMT+3; 2016-10-15 17:00; e70300-dr003
Alcorcon; 1; 1; 21/20; 1; 21/20; 19/20; 21/20; 10/11; 1; 1; ; 11/10; 1; 1; 1; 1; 1; 1; 19/20; 1; 1; 9/8; 68/67; 1; 1; ; 21/20; 20/21; 21/20
Draw; 21/10; 2; 2; 21/10; 21/10; 41/20; 85/40; 11/5; 2; 2; ; 2; 21/10; 2; 2; 2; 21/10; 28/13; 11/5; 21/10; 21/10; 21/10; 39/19; 28/13; 21/10; ; 2; 2; 21/10
Almeria; 16/5; 14/5; 29/10; 14/5; 3; 14/5; 16/5; 11/4; 14/5; 16/5; ; 11/4; 16/5; 29/10; 16/5; 3; 58/19; 31/10; 27/10; 3; 58/19; 16/5; 45/17; 31/10; 14/5; ; 3; 14/5; 10/3
META; spain/la-liga-segunda/alcorcon-v-almeria; 2016-10-14 08:25:20 GMT+3; 2016-10-15 17:00; e70300-dr003
Alcorcon; 1; 1; 21/20; 1; 21/20; 19/20; 21/20; 10/11; 1; 21/20; 21/20; 11/10; 1; 1; 1; 1; 1; 1; 1; 1; 1; 9/8; 68/67; 1; 1; ; 21/20; 20/21; 21/20
Draw; 21/10; 2; 2; 21/10; 21/10; 41/20; 21/10; 11/5; 2; 2; 2; 2; 21/10; 2; 2; 2; 21/10; 28/13; 11/5; 21/10; 21/10; 21/10; 39/19; 28/13; 21/10; ; 2; 2; 21/10
Almeria; 16/5; 14/5; 29/10; 14/5; 3; 14/5; 16/5; 11/4; 14/5; 16/5; 14/5; 11/4; 16/5; 14/5; 16/5; 3; 58/19; 31/10; 31/10; 3; 58/19; 16/5; 45/17; 31/10; 14/5; ; 3; 14/5; 10/3
META; spain/la-liga-segunda/alcorcon-v-almeria; 2016-10-14 12:27:04 GMT+3; 2016-10-15 17:00; e70300-dr003
Alcorcon; 1; 1; 21/20; 1; 21/20; 19/20; 21/20; 10/11; 1; 21/20; 21/20; 11/10; 21/20; 1; 1; 1; 1; 1; 1; 1; 1; 9/8; 68/67; 1; 1; ; 21/20; 20/21; 
