META; english/league-2/notts-county-v-colchester; 2017-03-26 04:22:06 GMT+2; 2017-04-01 15:00; e70300-dr003
Notts County; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Colchester; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/notts-county-v-colchester; 2017-03-26 08:22:24 GMT+2; 2017-04-01 15:00; e70300-dr003
Notts County; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Colchester; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 21/10; 11/5; 21/10; 11/5; 9/4; 21/10; 9/4; 9/4; 23/10; 11/5; 21/10; 11/5; 9/4; 9/4; 11/5; 9/4; 28/13; 9/4; 9/4; 28/13; 47/20; 11/5; 9/4; 21/10; 9/4; ; 2; ; 23/10
META; english/league-2/notts-county-v-colchester; 2017-03-28 12:38:11 GMT+3; 2017-04-01 15:00; e70300-dr003
Notts County; 31/20; 6/4; 6/4; 29/20; 8/5; 29/20; 31/20; 7/5; 8/5; 6/4; 6/4; 31/20; 6/4; 6/4; 8/5; 17/11; 6/4; 6/4; 6/4; 6/4; 13/8; 10/7; 17/11; 6/4; 17/11; ; 8/5; ; 13/8
Colchester; 15/8; 9/5; 7/4; 17/10; 15/8; 17/10; 9/5; 6/4; 9/5; 9/5; 7/4; 9/5; 9/5; 9/5; 7/4; 9/5; 7/4; 7/4; 9/5; 7/4; 15/8; 32/19; 9/5; 15/8; 9/5; ; 7/4; ; 19/10
Draw; 21/10; 23/10; 21/10; 11/5; 9/4; 21/10; 23/10; 9/4; 23/10; 11/5; 21/10; 11/5; 9/4; 9/4; 11/5; 9/4; 28/13; 9/4; 9/4; 28/13; 47/20; 11/5; 9/4; 21/10; 9/4; ; 2; ; 23/10
META; english/league-2/notts-county-v-colchester; 2017-03-28 16:24:36 GMT+3; 2017-04-01 15:00; e70300-dr003
Notts County; 31/20; 6/4; 6/4; 29/20; 8/5; 29/20; 31/20; 7/5; 8/5; 6/4; 6/4; 31/20; 6/4; 6/4; 8/5; 17/11; 6/4; 6/4; 6/4; 6/4; 13/8; 10/7; 17/11; 6/4; 17/11; ; 8/5; 6/4; 13/8
Colchester; 15/8; 9/5; 7/4; 17/10; 15/8; 17/10; 9/5; 6/4; 9/5; 9/5; 7/4; 9/5; 9/5; 9/5; 7/4; 9/5; 7/4; 7/4; 9/5; 7/4; 15/8; 32/19; 9/5; 15/8; 9/5; ; 7/4; 9/5; 19/10
Draw; 21/10; 23/10; 21/10; 11/5; 9/4; 21/10; 23/10; 9/4; 23/10; 11/5; 21/10; 11/5; 9/4; 9/4; 11/5; 23/10; 28/13; 9/4; 9/4; 28/13; 47/20; 11/5; 9/4; 21/10; 9/4; ; 2; 2; 23/10
META; english/league-2/notts-county-v-colchester; 2017-03-28 20:23:13 GMT+3; 2017-04-01 15:00; e70300-dr003
