META; english/league-2/grimsby-v-crawley; 2017-03-12 00:22:12 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Crawley; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/grimsby-v-crawley; 2017-03-12 04:22:29 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Crawley; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/grimsby-v-crawley; 2017-03-12 08:23:04 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Crawley; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Crawley; 3; 11/4; 27/10; 11/4; ; 13/5; 3; 11/4; 3; 14/5; 13/5; 14/5; 57/20; ; 11/4; 3; 14/5; 29/10; 14/5; 14/5; 63/20; 27/11; 37/13; 3; 37/13; ; 4/6; ; 
META; english/league-2/grimsby-v-crawley; 2017-03-15 00:21:37 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; 10/11; 1; 19/20; 10/11; 19/20; 10/11; 19/20; 5/6; 1; 20/21; 19/20; 1; 19/20; 19/20; 1; 19/20; 19/20; 10/11; 10/11; 19/20; 49/50; 19/20; 13/14; 10/11; 13/14; ; 5/6; ; 
Draw; 12/5; 12/5; 23/10; 23/10; 5/2; 23/10; 5/2; 9/4; 5/2; 12/5; 9/4; 23/10; 12/5; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 12/5; 13/5; 40/17; 5/2; 12/5; 5/2; ; 9/4; ; 
Crawley; 3; 11/4; 27/10; 11/4; 3; 13/5; 3; 11/4; 3; 14/5; 27/10; 14/5; 57/20; 29/10; 11/4; 31/10; 14/5; 29/10; 14/5; 14/5; 63/20; 27/11; 37/13; 3; 37/13; ; 13/5; ; 
META; english/league-2/grimsby-v-crawley; 2017-03-15 04:21:16 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; 10/11; 1; 19/20; 10/11; 19/20; 10/11; 19/20; 5/6; 1; 20/21; 19/20; 1; 19/20; 19/20; 1; 19/20; 19/20; 10/11; 10/11; ; 49/50; 19/20; 13/14; 10/11; 13/14; ; 5/6; ; 
Draw; 12/5; 12/5; 23/10; 23/10; 5/2; 23/10; 5/2; 9/4; 5/2; 12/5; 9/4; 23/10; 12/5; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; ; 13/5; 40/17; 5/2; 12/5; 5/2; ; 9/4; ; 
Crawley; 3; 11/4; 27/10; 11/4; 3; 13/5; 3; 11/4; 3; 14/5; 27/10; 14/5; 57/20; 29/10; 11/4; 31/10; 14/5; 29/10; 14/5; ; 63/20; 27/11; 37/13; 3; 37/13; ; 13/5; ; 
META; english/league-2/grimsby-v-crawley; 2017-03-15 08:20:58 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; 10/11; 1; 1; 10/11; 1; 10/11; 1; 5/6; 1; 20/21; 19/20; 20/21; 19/20; 1; 1; 1; 19/20; 10/11; 10/11; 19/20; 49/50; 19/20; 13/14; 19/20; 13/14; ; 20/21; ; 
Draw; 12/5; 12/5; 23/10; 23/10; 5/2; 23/10; 5/2; 9/4; 5/2; 12/5; 9/4; 12/5; 12/5; 12/5; 12/5; 5/2; 12/5; 12/5; 5/2; 12/5; 13/5; 40/17; 5/2; 12/5; 5/2; ; 5/2; ; 
Crawley; 3; 11/4; 27/10; 11/4; 11/4; 5/2; 11/4; 11/4; 14/5; 14/5; 13/5; 14/5; 57/20; 14/5; 11/4; 3; 11/4; 29/10; 14/5; 11/4; 63/20; 27/11; 37/13; 11/4; 37/13; ; 13/5; ; 
META; english/league-2/grimsby-v-crawley; 2017-03-15 12:24:01 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; 10/11; 1; 1; 1; 1; 10/11; 1; 5/6; 1; 20/21; 19/20; 1; 19/20; 1; 1; 1; 19/20; 10/11; 10/11; 19/20; 49/50; 19/20; 13/14; 19/20; 13/14; ; 20/21; 20/21; 
Draw; 12/5; 12/5; 9/4; 12/5; 5/2; 23/10; 5/2; 9/4; 5/2; 12/5; 11/5; 23/10; 12/5; 12/5; 12/5; 5/2; 12/5; 12/5; 5/2; 12/5; 13/5; 40/17; 5/2; 12/5; 5/2; ; 12/5; 23/10; 
Crawley; 3; 14/5; 27/10; 11/4; 11/4; 13/5; 14/5; 11/4; 14/5; 14/5; 27/10; 14/5; 57/20; 14/5; 11/4; 3; 11/4; 29/10; 14/5; 11/4; 63/20; 27/11; 37/13; 14/5; 37/13; ; 13/5; 27/10; 
