META; english/championship/hull-v-ipswich; 2017-11-05 02:21:45 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Hull; 1; 21/20; 21/20; 21/20; 21/20; ; 21/20; 1; 21/20; 1; 11/10; 1; ; 21/20; 21/20; 1; 1; 1; 107/ 100; 24/23; 24/23; 21/20; 21/20; 1; 1; ; ; ; 
Draw; 23/10; 13/5; 13/5; 13/5; 5/2; ; 13/5; 13/5; 5/2; 5/2; 12/5; 5/2; ; 13/5; 13/5; 12/5; 12/5; 5/2; 69/25; 13/5; 27/11; 13/5; 13/5; 5/2; 28/11; ; ; ; 
Ipswich; 14/5; 12/5; 12/5; 12/5; 11/4; ; 12/5; 13/5; 13/5; 12/5; 11/4; 5/2; ; 49/20; 5/2; 5/2; 13/5; 27/11; 67/25; 5/2; 28/11; 13/5; 5/2; 53/20; 27/11; ; ; ; 
META; english/championship/hull-v-ipswich; 2017-11-09 10:21:21 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Hull; 1; 21/20; 21/20; 21/20; 21/20; ; 21/20; 1; 21/20; 1; 11/10; 1; ; 21/20; 21/20; 1; 1; 1; 107/ 100; 24/23; 24/23; 21/20; 21/20; 1; 1; ; ; ; 
Draw; 23/10; 13/5; 13/5; 13/5; 5/2; ; 13/5; 13/5; 5/2; 5/2; 12/5; 5/2; ; 13/5; 13/5; 12/5; 12/5; 5/2; 69/25; 13/5; 27/11; 13/5; 13/5; 5/2; 28/11; ; ; ; 
Ipswich; 14/5; 12/5; 12/5; 12/5; 11/4; ; 12/5; 13/5; 13/5; 12/5; 11/4; 5/2; ; 49/20; 5/2; 5/2; 13/5; 27/11; 67/25; 5/2; 28/11; 13/5; 5/2; 53/20; 27/11; ; ; ; 
META; english/championship/hull-v-ipswich; 2017-11-09 14:21:19 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Hull; 1; 21/20; 21/20; 21/20; 21/20; ; 21/20; 1; 21/20; 1; 11/10; 1; ; 21/20; 21/20; 1; 1; 1; 107/ 100; 24/23; 24/23; 21/20; 21/20; 1; 1; ; ; ; 
Draw; 23/10; 13/5; 13/5; 13/5; 5/2; ; 5/2; 13/5; 5/2; 5/2; 12/5; 5/2; ; 13/5; 13/5; 12/5; 12/5; 5/2; 69/25; 13/5; 27/11; 13/5; 13/5; 5/2; 28/11; ; ; ; 
Ipswich; 14/5; 12/5; 12/5; 12/5; 11/4; ; 5/2; 13/5; 13/5; 12/5; 11/4; 5/2; ; 49/20; 5/2; 5/2; 13/5; 27/11; 67/25; 5/2; 28/11; 13/5; 5/2; 53/20; 27/11; ; ; ; 
META; english/championship/hull-v-ipswich; 2017-11-09 18:21:13 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Hull; 1; 21/20; 21/20; 21/20; 21/20; ; 21/20; 1; 21/20; 1; 11/10; 1; ; 21/20; 21/20; 1; 1; 1; 107/ 100; 24/23; 24/23; 21/20; 21/20; 1; 1; ; ; ; 
Draw; 23/10; 13/5; 13/5; 13/5; 5/2; ; 5/2; 13/5; 5/2; 5/2; 12/5; 5/2; ; 13/5; 13/5; 12/5; 12/5; 5/2; 69/25; 13/5; 27/11; 13/5; 13/5; 5/2; 28/11; ; ; ; 
Ipswich; 14/5; 12/5; 12/5; 12/5; 11/4; ; 5/2; 13/5; 13/5; 12/5; 11/4; 5/2; ; 49/20; 5/2; 5/2; 13/5; 27/11; 67/25; 5/2; 28/11; 13/5; 5/2; 53/20; 27/11; ; ; ; 
META; english/championship/hull-v-ipswich; 2017-11-09 22:21:13 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Hull; 1; 21/20; 21/20; 21/20; 21/20; ; 21/20; 1; 1; 1; 11/10; 1; ; 21/20; 21/20; 1; 1; 1; 107/ 100; 24/23; 1; 21/20; 21/20; 1; 1; ; ; ; 
Draw; 23/10; 13/5; 13/5; 13/5; 5/2; ; 5/2; 13/5; 45/17; 5/2; 12/5; 5/2; ; 13/5; 13/5; 12/5; 12/5; 5/2; 69/25; 13/5; 13/5; 13/5; 13/5; 5/2; 28/11; ; ; ; 
Ipswich; 14/5; 12/5; 12/5; 12/5; 11/4; ; 5/2; 13/5; 13/5; 12/5; 11/4; 5/2; ; 49/20; 5/2; 5/2; 13/5; 27/11; 67/25; 5/2; 28/11; 13/5; 5/2; 53/20; 27/11; ; ; ; 
META; english/championship/hull-v-ipswich; 2017-11-10 02:21:07 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Hull; 1; 21/20; 21/20; 21/20; 21/20; ; 21/20; 1; 1; 1; 11/10; 1; ; 21/20; 21/20; 1; 1; 1; 107/ 100; 24/23; 1; 21/20; 21/20; 1; 1; ; ; ; 
Draw; 23/10; 13/5; 13/5; 13/5; 5/2; ; 5/2; 13/5; 45/17; 5/2; 12/5; 5/2; ; 13/5; 13/5; 12/5; 12/5; 5/2; 69/25; 13/5; 13/5; 13/5; 13/5; 5/2; 28/11; ; ; ; 
Ipswich; 14/5; 12/5; 12/5; 12/5; 11/4; ; 5/2; 13/5; 13/5; 12/5; 11/4; 5/2; ; 49/20; 5/2; 5/2; 13/5; 27/11; 67/25; 5/2; 28/11; 13/5; 5/2; 53/20; 27/11; ; ; ; 
META; english/championship/hull-v-ipswich; 2017-11-10 10:21:08 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Hull; 1; 21/20; 21/20; 21/20; 21/20; ; 21/20; 1; 1; 1; 11/10; 1; ; 21/20; 21/20; 1; 1; 1; 27/25; 24/23; 1; 21/20; 21/20; 1; 1; ; ; ; 
Draw; 23/10; 13/5; 13/5; 13/5; 5/2; ; 5/2; 13/5; 45/17; 5/2; 12/5; 5/2; ; 13/5; 13/5; 12/5; 12/5; 5/2; 69/25; 13/5; 13/5; 13/5; 13/5; 5/2; 28/11; ; ; ; 
Ipswich; 14/5; 12/5; 12/5; 12/5; 11/4; ; 5/2; 13/5; 13/5; 12/5; 11/4; 5/2; ; 49/20; 5/2; 5/2; 13/5; 27/11; 53/20; 5/2; 28/11; 13/5; 5/2; 53/20; 27/11; ; ; ; 
META; english/championship/hull-v-ipswich; 2017-11-10 14:21:18 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Hull; 1; 21/20; 21/20; 21/20; 21/20; ; 21/20; 1; 1; 1; 11/10; 1; ; 21/20; 21/20; 1; 1; 1; 27/25; 24/23; 1; 21/20; 21/20; 1; 1; ; ; ; 
Draw; 23/10; 13/5; 13/5; 13/5; 5/2; ; 5/2; 13/5; 45/17; 5/2; 12/5; 5/2; ; 13/5; 13/5; 12/5; 12/5; 5/2; 69/25; 13/5; 13/5; 13/5; 13/5; 5/2; 28/11; ; ; ; 
Ipswich; 14/5; 12/5; 12/5; 12/5; 11/4; ; 5/2; 13/5; 13/5; 12/5; 11/4; 5/2; ; 49/20; 5/2; 5/2; 13/5; 27/11; 53/20; 5/2; 28/11; 13/5; 5/2; 53/20; 27/11; ; ; ; 
META; english/championship/hull-v-ipswich; 2017-11-10 19:33:49 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
