Draw; 11/2; 9/2; 9/2; 9/2; 5; 19/4; 5; 5; 9/2; 17/4; 17/4; 4; 19/4; 5; 19/4; 9/2; 19/4; 22/5; ; 11/2; 47/10; 22/5; ; ; 9/2; ; 14/5; ; 24/5
Deportivo La Coruna; 10; 17/2; 9; 9; 10; 8; 9; 9; 17/2; 17/2; 17/2; 9; 10; 10; 8; 17/2; 35/4; 17/2; ; 10; 37/5; 17/2; ; ; 9; ; 7/2; ; 48/5
META; spain/la-liga-primera/deportivo-la-coruna-v-real-madrid; 2017-08-05 10:19:16 GMT+3; 2017-08-20 16:00; Nothing; Xlenovo
Real Madrid; 2/9; 3/10; 3/10; 2/7; 2/7; 1/4; 2/7; 1/4; 5/18; 5/18; 2/7; 3/10; 1/4; 1/4; 30/100; 2/7; 5/19; 1/4; 5/19; 3/10; 3/11; 5/18; ; ; 1/4; ; 2/15; ; 3/10
Draw; 11/2; 9/2; 9/2; 9/2; 5; 19/4; 5; 5; 9/2; 17/4; 17/4; 4; 19/4; 5; 19/4; 9/2; 19/4; 22/5; 23/5; 11/2; 47/10; 22/5; ; ; 9/2; ; 14/5; ; 24/5
Deportivo La Coruna; 10; 17/2; 9; 9; 10; 8; 9; 9; 17/2; 17/2; 17/2; 9; 10; 10; 8; 17/2; 35/4; 17/2; 17/2; 10; 37/5; 17/2; ; ; 9; ; 7/2; ; 48/5
META; spain/la-liga-primera/deportivo-la-coruna-v-real-madrid; 2017-08-05 14:18:55 GMT+3; 2017-08-20 16:00; Nothing; Xlenovo
Real Madrid; 2/9; 3/10; 3/10; 2/7; 2/7; 1/4; 2/7; 1/4; 5/18; 5/18; 2/7; 3/10; 1/4; 1/4; 30/100; 2/7; 5/19; 1/4; 5/19; 3/10; 3/11; 5/18; ; ; 1/4; ; 2/15; ; 3/10
Draw; 11/2; 9/2; 9/2; 9/2; 5; 19/4; 5; 5; 9/2; 17/4; 17/4; 4; 19/4; 5; 19/4; 9/2; 19/4; 22/5; 23/5; 11/2; 47/10; 22/5; ; ; 9/2; ; 14/5; ; 24/5
Deportivo La Coruna; 10; 17/2; 9; 9; 10; 8; 9; 9; 17/2; 17/2; 17/2; 9; 10; 10; 8; 17/2; 35/4; 17/2; 17/2; 10; 37/5; 17/2; ; ; 9; ; 7/2; ; 48/5
