META; spain/la-liga-segunda/mallorca-v-levante; 2017-03-20 18:23:37 GMT+2; 2017-03-25 19:30; Nothing; Xlenovo
Levante; 17/10; 13/8; 33/20; ; 17/10; 31/20; 17/10; ; 8/5; 17/10; 33/20; ; 17/10; ; ; ; 28/17; ; ; 28/17; 46/25; 14/9; ; ; ; ; ; ; 
Draw; 15/8; 15/8; 2; ; 19/10; 19/10; 2; ; 15/8; 2; 19/10; ; 2; ; ; ; 2; ; ; 2; 19/10; 23/12; ; ; ; ; ; ; 
Mallorca; 19/10; 7/4; 17/10; ; 15/8; 17/10; 19/10; ; 13/8; 9/5; 17/10; ; 7/4; ; ; ; 7/4; ; ; 7/4; 2; 19/11; ; ; ; ; ; ; 
META; spain/la-liga-segunda/mallorca-v-levante; 2017-03-20 22:23:16 GMT+2; 2017-03-25 19:30; Nothing; Xlenovo
Levante; 17/10; 13/8; 33/20; 8/5; 17/10; 31/20; 9/5; ; 8/5; 17/10; 33/20; ; 17/10; ; 13/8; ; 28/17; ; ; 28/17; 46/25; 14/9; ; 13/8; ; ; 6/4; 6/4; 
Mallorca; 19/10; 17/10; 17/10; 17/10; 9/5; 17/10; 9/5; ; 13/8; 7/4; 33/20; ; 7/4; ; 9/5; ; 7/4; ; ; 7/4; 2; 19/11; ; 9/5; ; ; 13/8; 13/8; 
Draw; 15/8; 2; 2; 2; 2; 19/10; 2; ; 15/8; 2; 2; ; 2; ; 2; ; 2; ; ; 2; 19/10; 23/12; ; 15/8; ; ; 15/8; 19/10; 
META; spain/la-liga-segunda/mallorca-v-levante; 2017-03-21 02:22:51 GMT+2; 2017-03-25 19:30; Nothing; Xlenovo
Levante; 17/10; 13/8; 33/20; 8/5; 17/10; 13/8; 9/5; ; 8/5; 17/10; 33/20; 17/10; 17/10; ; 13/8; 8/5; 28/17; 17/10; 8/5; 28/17; 46/25; 14/9; 8/5; 17/10; 28/17; ; 8/5; 6/4; 
Mallorca; 19/10; 17/10; 17/10; 17/10; 9/5; 5/3; 9/5; ; 13/8; 7/4; 17/10; 7/4; 7/4; ; 9/5; 7/4; 7/4; 7/4; 7/4; 7/4; 2; 19/11; 7/4; 9/5; 9/5; ; 13/8; 13/8; 
Draw; 15/8; 2; 2; 2; 2; 19/10; 2; ; 15/8; 2; 2; 19/10; 2; ; 2; 2; 2; 19/10; 2; 2; 19/10; 23/12; 2; 9/5; 39/19; ; 15/8; 19/10; 
META; spain/la-liga-segunda/mallorca-v-levante; 2017-03-21 06:22:26 GMT+2; 2017-03-25 19:30; Nothing; Xlenovo
Levante; 17/10; 13/8; 33/20; 8/5; 17/10; 13/8; 9/5; 8/5; 8/5; 17/10; 33/20; 17/10; 17/10; ; 13/8; 8/5; 28/17; 17/10; 8/5; 28/17; 46/25; 14/9; 8/5; 17/10; 28/17; ; 8/5; 6/4; 
Mallorca; 19/10; 17/10; 17/10; 17/10; 9/5; 5/3; 9/5; 17/10; 13/8; 7/4; 17/10; 7/4; 7/4; ; 9/5; 7/4; 7/4; 7/4; 7/4; 7/4; 2; 19/11; 7/4; 9/5; 9/5; ; 13/8; 13/8; 
Draw; 15/8; 2; 2; 2; 2; 19/10; 2; 15/8; 15/8; 2; 2; 19/10; 2; ; 2; 2; 2; 19/10; 2; 2; 19/10; 23/12; 2; 9/5; 39/19; ; 15/8; 19/10; 
META; spain/la-liga-segunda/mallorca-v-levante; 2017-03-21 10:22:26 GMT+2; 2017-03-25 19:30; Nothing; Xlenovo
Levante; 17/10; 13/8; 33/20; 8/5; 17/10; 13/8; 9/5; 8/5; 8/5; 17/10; 33/20; 17/10; 17/10; ; 13/8; 8/5; 28/17; 17/10; 8/5; 28/17; 47/25; 14/9; 8/5; 17/10; 28/17; ; 6/4; 6/4; 
Mallorca; 19/10; 17/10; 17/10; 17/10; 9/5; 5/3; 9/5; 17/10; 13/8; 7/4; 17/10; 7/4; 7/4; ; 9/5; 7/4; 7/4; 7/4; 7/4; 7/4; 49/25; 19/11; 7/4; 9/5; 9/5; ; 13/8; 13/8; 
Draw; 15/8; 2; 2; 2; 2; 19/10; 2; 15/8; 15/8; 2; 2; 19/10; 2; ; 2; 2; 2; 19/10; 2; 2; 19/10; 23/12; 2; 9/5; 39/19; ; 15/8; 19/10; 
META; spain/la-liga-segunda/mallorca-v-levante; 2017-03-21 14:23:46 GMT+2; 2017-03-25 19:30; Nothing; Xlenovo
Levante; 19/10; 17/10; 7/4; 8/5; 7/4; 5/3; 9/5; 8/5; 13/8; 9/5; 17/10; 17/10; 7/4; ; 17/10; 7/4; 17/10; 17/10; 8/5; 17/10; 47/25; 13/8; 8/5; 7/4; 28/17; ; 13/8; 13/8; 
Mallorca; 17/10; 17/10; 13/8; 17/10; 7/4; 8/5; 7/4; 17/10; 13/8; 17/10; 13/8; 13/8; 17/10; ; 17/10; 7/4; 17/10; 7/4; 7/4; 17/10; 49/25; 48/29; 7/4; 7/4; 9/5; ; 6/4; 8/5; 
Draw; 15/8; 19/10; 2; 2; 2; 19/10; 2; 15/8; 15/8; 2; 2; 2; 2; ; 2; 15/8; 2; 19/10; 2; 2; 19/10; 23/12; 2; 9/5; 39/19; ; 15/8; 19/10; 
META; spain/la-liga-segunda/mallorca-v-levante; 2017-03-21 18:24:22 GMT+2; 2017-03-25 19:30; Nothing; Xlenovo
Mallorca; 17/10; 13/8; 31/20; 6/4; 13/8; 31/20; 13/8; 17/10; 6/4; 13/8; 31/20; 8/5; 13/8; 6/4; 13/8; 8/5; 8/5; 7/4; 13/8; 8/5; 91/50; 8/5; 5/3; 13/8; 17/10; ; 6/4; 6/4; 13/8
Levante; 19/10; 9/5; 9/5; 9/5; 15/8; 7/4; 2; 8/5; 13/8; 19/10; 9/5; 15/8; 37/20; 9/5; 9/5; 9/5; 24/13; 17/10; 13/8; 24/13; 2; 17/10; 5/3; 9/5; 17/10; ; 9/5; 17/10; 2
Draw; 15/8; 19/10; 39/20; 2; 2; 15/8; 2; 15/8; 15/8; 19/10; 19/10; 19/10; 2; 2; 2; 2; 37/19; 19/10; 2; 37/19; 49/25; 19/10; 39/19; 9/5; 39/19; ; 19/10; 19/10; 2
META; spain/la-liga-segunda/mallorca-v-levante; 2017-03-21 22:24:02 GMT+2; 2017-03-25 19:30; Nothing; Xlenovo
Mallorca; 17/10; 13/8; 31/20; 6/4; 13/8; 31/20; 13/8; 17/10; 6/4; 13/8; 31/20; 31/20; 13/8; 6/4; 13/8; 8/5; 8/5; 8/5; 13/8; 8/5; 91/50; 8/5; 5/3; 13/8; 17/10; ; 6/4; 6/4; 17/10
Levante; 19/10; 9/5; 9/5; 9/5; 15/8; 7/4; 2; 8/5; 13/8; 15/8; 9/5; 7/4; 37/20; 9/5; 9/5; 9/5; 9/5; 24/13; 13/8; 9/5; 2; 17/10; 5/3; 9/5; 17/10; ; 9/5; 17/10; 19/10
Draw; 15/8; 19/10; 39/20; 2; 2; 19/10; 2; 15/8; 15/8; 2; 19/10; 2; 2; 2; 2; 15/8; 37/19; 19/10; 2; 37/19; 49/25; 19/10; 39/19; 15/8; 39/19; ; 19/10; 19/10; 2
META; spain/la-liga-segunda/mallorca-v-levante; 2017-03-22 02:24:31 GMT+2; 2017-03-25 19:30; Nothing; Xlenovo
Mallorca; 8/5; 13/8; 31/20; 6/4; 13/8; 31/20; 13/8; 17/10; 6/4; 13/8; 31/20; 8/5; 13/8; 6/4; 13/8; 8/5; 8/5; 8/5; 13/8; 8/5; 46/25; 14/9; 5/3; 13/8; 17/10; ; 6/4; 6/4; 17/10
Levante; 2; 9/5; 9/5; 9/5; 15/8; 7/4; 2; 8/5; 13/8; 15/8; 9/5; 9/5; 37/20; 9/5; 9/5; 9/5; 9/5; 24/13; 13/8; 9/5; 2; 33/19; 5/3; 9/5; 17/10; ; 7/4; 17/10; 19/10
Draw; 15/8; 19/10; 39/20; 2; 2; 19/10; 2; 15/8; 15/8; 2; 19/10; 2; 2; 2; 2; 2; 37/19; 19/10; 2; 37/19; 19/10; 19/10; 39/19; 15/8; 39/19; ; 15/8; 19/10; 2
META; spain/la-liga-segunda/mallorca-v-levante; 2017-03-22 06:22:05 GMT+2; 2017-03-25 19:30; Nothing; Xlenovo
Mallorca; 8/5; 13/8; 31/20; 6/4; 13/8; 31/20; 13/8; 17/10; 6/4; 13/8; 31/20; 8/5; 13/8; 6/4; 13/8; 8/5; 8/5; 8/5; 13/8; 8/5; 46/25; 14/9; 5/3; 13/8; 17/10; ; 6/4; ; 17/10
Levante; 2; 9/5; 9/5; 9/5; 15/8; 7/4; 2; 8/5; 13/8; 15/8; 9/5; 9/5; 37/20; 9/5; 9/5; 9/5; 24/13; 24/13; 13/8; 24/13; 2; 33/19; 5/3; 9/5; 17/10; ; 17/10; ; 19/10
Draw; 15/8; 19/10; 39/20; 2; 2; 19/10; 2; 15/8; 15/8; 2; 19/10; 2; 2; 2; 2; 2; 37/19; 19/10; 2; 37/19; 19/10; 19/10; 39/19; 15/8; 39/19; ; 15/8; ; 2
META; spain/la-liga-segunda/mallorca-v-levante; 2017-03-22 10:23:05 GMT+2; 2017-03-25 19:30; Nothing; Xlenovo
Mallorca; 8/5; 13/8; 31/20; 6/4; 13/8; 31/20; 13/8; 6/4; 6/4; 13/8; 31/20; 31/20; 13/8; 6/4; 13/8; 17/11; 8/5; 8/5; 13/8; 8/5; 46/25; 14/9; 5/3; 13/8; 17/10; ; 6/4; 13/10; 17/10
Levante; 2; 9/5; 9/5; 9/5; 15/8; 7/4; 2; 9/5; 9/5; 15/8; 9/5; 7/4; 37/20; 9/5; 9/5; 15/8; 9/5; 24/13; 13/8; 9/5; 2; 33/19; 5/3; 9/5; 17/10; ; 13/8; 6/4; 19/10
Draw; 15/8; 19/10; 39/20; 2; 2; 19/10; 2; 15/8; 15/8; 2; 19/10; 2; 2; 2; 2; 2; 37/19; 19/10; 2; 37/19; 19/10; 19/10; 39/19; 15/8; 39/19; ; 15/8; 7/4; 2
