Mirandes; 8/5; 6/4; 31/20; 8/5; 6/4; 29/20; 8/5; 7/5; 6/4; 8/5; 31/20; 31/20; ; 8/5; 6/4; 17/11; 8/5; 6/4; 6/4; 8/5; 161/100; 19/13; 17/11; 6/4; ; 6/4; 6/4; 13/8
Oviedo; 9/5; 7/4; 7/4; 17/10; 15/8; 7/4; 9/5; 9/5; 7/4; 19/10; 17/10; 9/5; ; 9/5; 15/8; 7/4; 19/10; 19/10; 9/5; 19/10; 101/50; 22/13; 9/5; 9/5; ; 9/5; 17/10; 2
Draw; 21/10; 2; 41/20; 2; 2; 2; 11/5; 2; 2; 2; 2; 2; ; 21/10; 21/10; 2; 39/19; 11/5; 2; 39/19; 11/5; 21/10; 39/19; 21/10; ; 2; 2; 21/10
META; spain/la-liga-segunda/mirandes-v-oviedo; 2017-02-11 10:25:47 GMT+2; 2017-02-12 17:00; Nothing; Xlenovo
Mirandes; 8/5; 6/4; 31/20; 8/5; 6/4; 29/20; 8/5; 7/5; 6/4; 8/5; 31/20; 31/20; ; 8/5; 6/4; 17/11; 8/5; 6/4; 6/4; 8/5; 161/100; 19/13; 17/11; 6/4; ; 6/4; 6/4; 13/8
Oviedo; 9/5; 7/4; 7/4; 17/10; 15/8; 7/4; 9/5; 9/5; 7/4; 19/10; 17/10; 9/5; ; 9/5; 15/8; 7/4; 19/10; 19/10; 9/5; 19/10; 101/50; 22/13; 9/5; 9/5; ; 9/5; 17/10; 2
Draw; 21/10; 2; 41/20; 2; 2; 2; 11/5; 2; 2; 2; 2; 2; ; 21/10; 21/10; 2; 21/10; 11/5; 2; 21/10; 11/5; 21/10; 39/19; 21/10; ; 2; 15/8; 21/10
META; spain/la-liga-segunda/mirandes-v-oviedo; 2017-02-11 14:31:12 GMT+2; 2017-02-12 17:00; Nothing; Xlenovo
Mirandes; 8/5; 6/4; 31/20; 8/5; 8/5; 29/20; 8/5; 7/5; 6/4; 8/5; 31/20; 31/20; 6/4; 8/5; 6/4; 17/11; 8/5; 6/4; 6/4; 8/5; 161/100; 19/13; 17/11; 6/4; ; 6/4; 6/4; 13/8
Oviedo; 9/5; 7/4; 7/4; 17/10; 15/8; 7/4; 9/5; 9/5; 7/4; 19/10; 17/10; 9/5; 19/10; 9/5; 15/8; 7/4; 19/10; 19/10; 9/5; 19/10; 101/50; 22/13; 9/5; 9/5; ; 19/10; 17/10; 2
Draw; 21/10; 2; 41/20; 2; 21/10; 2; 11/5; 2; 2; 2; 2; 2; 21/10; 21/10; 21/10; 2; 39/19; 11/5; 2; 39/19; 11/5; 21/10; 39/19; 21/10; ; 2; 19/10; 21/10
META; spain/la-liga-segunda/mirandes-v-oviedo; 2017-02-11 18:24:14 GMT+2; 2017-02-12 17:00; Nothing; Xlenovo
Mirandes; 8/5; 6/4; 6/4; 8/5; 6/4; 29/20; 13/8; 7/5; 6/4; 6/4; 6/4; 31/20; 6/4; 8/5; 6/4; 17/11; 17/11; 17/11; 6/4; 17/11; 161/100; 19/13; 17/11; 6/4; ; 6/4; 7/5; 6/4
Oviedo; 9/5; 9/5; 9/5; 17/10; 15/8; 7/4; 19/10; 9/5; 7/4; 19/10; 7/4; 9/5; 19/10; 9/5; 15/8; 9/5; 37/19; 37/19; 9/5; 37/19; 101/50; 22/13; 9/5; 9/5; ; 19/10; 7/4; 2
Draw; 21/10; 2; 41/20; 2; 2; 2; 21/10; 2; 2; 2; 2; 2; 21/10; 21/10; 21/10; 2; 21/10; 2; 2; 21/10; 11/5; 21/10; 39/19; 21/10; ; 2; 19/10; 21/10
META; spain/la-liga-segunda/mirandes-v-oviedo; 2017-02-11 22:29:30 GMT+2; 2017-02-12 17:00; Nothing; Xlenovo
Mirandes; 8/5; 6/4; 6/4; 8/5; 6/4; 29/20; 13/8; 7/5; 6/4; 6/4; 6/4; 31/20; 6/4; 8/5; 6/4; 17/11; 17/11; 17/11; 6/4; 17/11; 8/5; 19/13; 17/11; 6/4; ; 6/4; 7/5; 6/4
