META; english/championship/blackburn-v-bristol-city; 2017-04-14 14:20:13 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Blackburn; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Bristol City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
META; english/championship/blackburn-v-bristol-city; 2017-04-14 18:20:10 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Blackburn; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Bristol City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
META; english/championship/blackburn-v-bristol-city; 2017-04-14 22:20:04 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Blackburn; 5/4; 11/8; ; ; 13/10; ; 13/10; ; ; ; 6/5; ; 5/4; ; ; 11/8; 13/10; ; ; 13/10; 7/5; ; ; ; ; ; 10/11; ; 
Bristol City; 2; 19/10; 19/10; 2; 2; 39/20; 2; 15/8; 2; 19/10; 9/5; 15/8; 39/20; 2; 19/10; 2; 19/10; 2; 9/5; 19/10; 21/10; 20/11; 24/13; 15/8; 19/10; ; 19/10; 9/5; 19/10
Draw; 13/5; 12/5; 49/20; 12/5; 12/5; 12/5; 13/5; 9/4; 5/2; 12/5; 23/10; 5/2; 12/5; 13/5; 5/2; 13/5; 27/11; 23/10; 12/5; 27/11; 49/20; 40/17; 12/5; 23/10; 27/11; ; 12/5; 23/10; 12/5
META; english/championship/blackburn-v-bristol-city; 2017-04-16 14:19:50 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Blackburn; 7/5; 11/8; 27/20; 13/10; 11/8; 7/5; 11/8; 5/4; 7/5; 13/10; 13/10; 13/10; 27/20; 11/8; 11/8; 11/8; 23/17; 13/10; 7/5; 23/17; 29/20; 7/5; 7/5; 13/10; 10/7; ; 7/5; 27/20; 11/8
Bristol City; 2; 19/10; 2; 2; 2; 2; 21/10; 15/8; 2; 19/10; 19/10; 19/10; 39/20; 2; 19/10; 2; 37/19; 2; 9/5; 37/19; 41/20; 37/19; 24/13; 15/8; 19/10; ; 19/10; 19/10; 19/10
Draw; 13/5; 12/5; 49/20; 12/5; 12/5; 12/5; 13/5; 9/4; 5/2; 12/5; 23/10; 5/2; 12/5; 13/5; 5/2; 5/2; 27/11; 23/10; 12/5; 27/11; 5/2; 40/17; 12/5; 23/10; 27/11; ; 23/10; 23/10; 12/5
META; english/championship/blackburn-v-bristol-city; 2017-04-16 18:19:45 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Blackburn; 7/5; 13/10; 11/8; 13/10; 11/8; 7/5; 7/5; 13/10; 7/5; 13/10; 13/10; 7/5; 27/20; 7/5; 11/8; 11/8; 23/17; 13/10; 7/5; 23/17; 29/20; 7/5; 7/5; 11/8; 10/7; ; 11/8; 11/8; 11/8
Bristol City; 2; 19/10; 39/20; 2; 2; 2; 2; 2; 2; 19/10; 15/8; 19/10; 39/20; 2; 19/10; 2; 37/19; 2; 9/5; 37/19; 41/20; 24/13; 24/13; 2; 19/10; ; 19/10; 19/10; 19/10
Draw; 13/5; 5/2; 12/5; 12/5; 12/5; 12/5; 13/5; 12/5; 5/2; 12/5; 23/10; 23/10; 12/5; 13/5; 5/2; 13/5; 27/11; 23/10; 12/5; 27/11; 5/2; 5/2; 12/5; 12/5; 27/11; ; 12/5; 23/10; 12/5
META; english/championship/blackburn-v-bristol-city; 2017-04-16 22:19:47 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Blackburn; 7/5; 6/4; 7/5; 13/10; 11/8; 7/5; 6/4; 13/10; 7/5; 11/8; 11/8; 11/8; 27/20; 29/20; 11/8; 7/5; 23/17; 13/10; 7/5; ; 29/20; 7/5; 7/5; 11/8; 10/7; ; 11/8; 11/8; 11/8
Bristol City; 2; 9/5; 19/10; 2; 2; 2; 19/10; 2; 2; 19/10; 2; 19/10; 39/20; 2; 19/10; 2; 37/19; 2; 9/5; ; 41/20; 24/13; 24/13; 2; 19/10; ; 19/10; 19/10; 19/10
Draw; 13/5; 23/10; 12/5; 12/5; 12/5; 12/5; 13/5; 12/5; 5/2; 12/5; 23/10; 12/5; 12/5; 13/5; 5/2; 12/5; 27/11; 23/10; 12/5; ; 5/2; 5/2; 12/5; 12/5; 27/11; ; 12/5; 12/5; 12/5
META; english/championship/blackburn-v-bristol-city; 2017-04-17 02:19:46 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Blackburn; 7/5; 7/5; 7/5; 13/10; 11/8; 7/5; 6/4; 13/10; 7/5; 11/8; 11/8; 11/8; 27/20; 29/20; 11/8; 7/5; 7/5; 13/10; 7/5; 7/5; 29/20; 25/18; 7/5; 7/5; 10/7; ; 7/5; 27/20; 11/8
Bristol City; 2; 9/5; 19/10; 2; 2; 39/20; 19/10; 2; 2; 19/10; 2; 19/10; 39/20; 2; 19/10; 2; 19/10; 2; 9/5; 19/10; 41/20; 21/11; 24/13; 2; 19/10; ; 19/10; 19/10; 19/10
Draw; 13/5; 12/5; 12/5; 12/5; 12/5; 12/5; 13/5; 12/5; 5/2; 12/5; 23/10; 12/5; 12/5; 13/5; 5/2; 5/2; 27/11; 23/10; 12/5; 27/11; 5/2; 5/2; 12/5; 12/5; 27/11; ; 12/5; 12/5; 12/5
META; english/championship/blackburn-v-bristol-city; 2017-04-17 06:19:45 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Blackburn; 7/5; 7/5; 29/20; 13/10; 11/8; 29/20; 6/4; 13/10; 7/5; 7/5; 11/8; 29/20; 29/20; 29/20; 7/5; 7/5; 7/5; 13/10; 7/5; 16/11; 29/20; 10/7; 7/5; 7/5; 10/7; ; 7/5; 7/5; 11/8
